Subject,Phase_vs_phase,model,DaviesBouldin
233,GaussianMixture,phase1_vs_phase2,2.945563845766772
233,GaussianMixture,phase1_vs_phase3,8.540662949168544
233,GaussianMixture,phase1_vs_phase4,6.117514502351323
233,GaussianMixture,phase1_vs_phase5,3.2040266392833603
235,Birch,phase1_vs_phase2,0.76622605807647
235,Birch,phase1_vs_phase3,1.2121127597388421
235,Birch,phase1_vs_phase4,0.6543486504539078
235,Birch,phase1_vs_phase5,0.455801346658546
235,KMeans,phase1_vs_phase2,0.46520697166848995
235,KMeans,phase1_vs_phase3,1.1078043069359733
235,KMeans,phase1_vs_phase4,0.6920872724201659
235,KMeans,phase1_vs_phase5,0.6377360306630122
235,GaussianMixture,phase1_vs_phase2,3.331339953531922
235,GaussianMixture,phase1_vs_phase3,1.1078043069359733
235,GaussianMixture,phase1_vs_phase4,1.1237613261603032
235,GaussianMixture,phase1_vs_phase5,0.6784279546682571
237,Birch,phase1_vs_phase2,0.10133956056450909
237,Birch,phase1_vs_phase3,0.6350906632083586
237,Birch,phase1_vs_phase4,1.334353047703311
237,Birch,phase1_vs_phase5,0.4914272323048046
237,KMeans,phase1_vs_phase2,0.2744308099839603
237,KMeans,phase1_vs_phase3,1.2291397951482066
237,KMeans,phase1_vs_phase4,1.1576532113129823
237,KMeans,phase1_vs_phase5,1.2742539370884787
237,GaussianMixture,phase1_vs_phase2,1.1210519028807064
237,GaussianMixture,phase1_vs_phase3,2.0067190778261796
237,GaussianMixture,phase1_vs_phase4,1.1576532113129823
237,GaussianMixture,phase1_vs_phase5,1.5861698151818469
239,Birch,phase1_vs_phase2,0.706102636460364
239,Birch,phase1_vs_phase3,1.1383921546120268
239,Birch,phase1_vs_phase4,0.919480981724657
239,Birch,phase1_vs_phase5,0.7070057210869561
239,KMeans,phase1_vs_phase2,0.706102636460364
239,KMeans,phase1_vs_phase3,1.159077561146676
239,KMeans,phase1_vs_phase4,0.8841156704361749
239,KMeans,phase1_vs_phase5,0.7562238847212363
239,GaussianMixture,phase1_vs_phase2,0.706102636460364
239,GaussianMixture,phase1_vs_phase3,1.2052873263372492
239,GaussianMixture,phase1_vs_phase4,0.8894208867749479
239,GaussianMixture,phase1_vs_phase5,11.542242869607373
244,Birch,phase1_vs_phase2,0.645713622705377
244,Birch,phase1_vs_phase3,0.8412149127248798
244,Birch,phase1_vs_phase4,0.37462468588035536
244,Birch,phase1_vs_phase5,0.5352828869213779
244,KMeans,phase1_vs_phase2,0.8845895618528886
244,KMeans,phase1_vs_phase3,0.9338612151017459
244,KMeans,phase1_vs_phase4,0.449191458577876
244,KMeans,phase1_vs_phase5,0.9531381245566842
244,GaussianMixture,phase1_vs_phase2,0.8842165886083349
244,GaussianMixture,phase1_vs_phase3,1.6045471052861173
244,GaussianMixture,phase1_vs_phase4,1.95034951604674
244,GaussianMixture,phase1_vs_phase5,5.660454188287446
245,Birch,phase1_vs_phase2,0.7698977162390976
245,Birch,phase1_vs_phase3,0.9635008580869208
245,Birch,phase1_vs_phase4,0.8313317206775892
245,Birch,phase1_vs_phase5,0.8393137427130749
