,,,Original Feat,,Non-time dependencies,,
Subject,Phase_vs_phase,model,AUC,F1,AUC,F1,
237,GaussianMixture,phase1_vs_phase2,0.509814453,0.038502059,0.524571756,0.118240285,-0.014757303
237,GaussianMixture,phase1_vs_phase3,0.638560895,0.172504453,0.504595071,0.193992132,0.133965824
237,GaussianMixture,phase1_vs_phase4,1,0,0.522957645,0.665119787,0.477042355
237,GaussianMixture,phase1_vs_phase5,1,0,0.531418,0.667479684,0.468582
239,Birch,phase1_vs_phase2,0.999983724,3.28E-05,0.500016276,6.51E-05,0.499967448
239,Birch,phase1_vs_phase3,1,0,0.500016276,6.51E-05,0.499983724
239,Birch,phase1_vs_phase4,0.573364212,0.483354128,0.500016276,6.51E-05,0.073347936
239,Birch,phase1_vs_phase5,0.530361909,0.508856462,0.503359019,0.056833643,0.02700289
239,KMeans,phase1_vs_phase2,0.999983724,3.28E-05,0.500016276,6.51E-05,0.499967448
239,KMeans,phase1_vs_phase3,0.558713923,0.520551847,0.505641173,0.064460467,0.05307275
239,KMeans,phase1_vs_phase4,0.536143897,0.486238366,0.500016276,6.51E-05,0.036127621
239,KMeans,phase1_vs_phase5,0.531396612,0.498183414,0.502774431,0.054375426,0.028622181
239,GaussianMixture,phase1_vs_phase2,0.999983724,0.999983724,0.500016276,6.51E-05,0.499967448
239,GaussianMixture,phase1_vs_phase3,0.967900989,0.969390975,0.513011782,0.630520083,0.454889208
239,GaussianMixture,phase1_vs_phase4,0.547058598,0.493665324,0.500032552,0.0001302,0.047026046
239,GaussianMixture,phase1_vs_phase5,0.51809545,0.551361668,0.524209545,0.633955039,-0.006114094
244,Birch,phase1_vs_phase2,0.588628738,0.70263617,0.500016276,6.51E-05,0.088612462
244,Birch,phase1_vs_phase3,0.504517026,0,0.502334096,0.038317551,0.00218293
244,Birch,phase1_vs_phase4,0.50931761,0.05338693,0.500205258,0.033193714,0.009112352
244,Birch,phase1_vs_phase5,0.501683744,0.018598134,0.500598851,0.034010392,0.001084893
244,KMeans,phase1_vs_phase2,0.994124349,0.994089622,0.500016276,6.51E-05,0.494108073
244,KMeans,phase1_vs_phase3,0.5254415,0.538170256,0.50225523,0.041147875,0.023186271
244,KMeans,phase1_vs_phase4,0.512342525,0.065216713,0.500214518,0.034836194,0.012128007
244,KMeans,phase1_vs_phase5,0.56623061,0.524485948,0.500695158,0.03468572,0.065535452
244,GaussianMixture,phase1_vs_phase2,0.999983724,3.28E-05,0.500016276,6.51E-05,0.499967448
244,GaussianMixture,phase1_vs_phase3,0.926751382,0,0.533646524,0.393717784,0.393104858
244,GaussianMixture,phase1_vs_phase4,0.829524812,0.796509368,0.515919505,0.636046932,0.313605307
244,GaussianMixture,phase1_vs_phase5,0.607899191,0.165690564,0.513298483,0.340221026,0.094600709
245,Birch,phase1_vs_phase2,0.503716866,0.058391938,0.500016276,6.51E-05,0.00370059
245,Birch,phase1_vs_phase3,0.504876508,0.414001511,0.501567772,0.035716535,0.003308735
245,Birch,phase1_vs_phase4,0.512006794,0.050622206,0.500286454,0.665782669,0.01172034
